id,total,catching
7595,3,2
7597,3,2
7607,3,2
7614,3,2
7621,3,2
7634,3,2
7658,3,2
7682,4,2
7692,4,2
7697,4,2
7703,5,2
7712,4,2
7720,5,2
7731,4,2
7739,4,2
7747,4,2
7753,4,2
7772,3,2
7841,3,2
2213476,1,0
5957343,0,0
5957489,0,0
10472,5,4
10478,6,4
10488,4,3
10514,4,3
10525,4,3
115520,2,1
115541,2,1
115562,2,1
115576,2,1
115608,2,1
115625,3,2
115632,2,1
115639,2,1
115650,2,1
422993,2,1
474671,4,3
474679,3,2
3944068,0,0
646510,2,1
51094,2,1
51362,2,1
51397,2,1
49017,5,1
3482713,12,0
428184,9,1
429082,11,1
652095,4,1
553344,2,1
170059,2,1
2476518,0,0
12884,9,1
11672,3,2
146397,2,1
171304,2,1
97498,3,1
97518,4,1
97522,3,1
168898,2,1
2149,3,1
27250,3,1
60850,2,1
1417,5,1
1434,2,1
1448,3,1
1457,4,1
66081,4,1
150003,6,1
428973,10,3
141403,3,1
437675,17,1
658382,6,2
436690,17,1
129656,2,1
182711,7,1
152139,6,1
533032,4,1
170314,2,1
427596,2,1
427634,2,1
427758,2,1
427768,2,1
585756,4,2
553077,7,1
427240,2,1
5788787,1,0
5788879,1,0
508858,4,2
603005,13,1
431510,7,1
669099,2,1
401957,2,1
417434,2,1
417453,2,1
417477,3,1
412861,3,2
412877,4,3
412887,6,5
412892,7,6
412924,4,3
412929,6,3
412941,6,5
412963,5,4
412970,5,4
412975,5,4
412989,5,4
412994,6,5
412999,6,5
413016,3,2
413022,6,5
413030,5,4
413033,7,5
413049,5,4
413055,5,4
413062,5,4
413066,5,4
413238,5,4
413252,4,3
413272,5,4
413280,4,3
413287,4,3
413325,7,5
400280,2,1
197579,3,2
393306,4,3
193634,7,6
193731,6,5
193828,5,4
193848,7,6
193932,5,4
193959,7,5
194001,5,4
194013,7,6
194290,8,6
194568,7,5
194598,5,4
194724,5,4
194752,10,8
195595,5,4
195647,7,6
196021,6,5
196045,6,5
196064,5,4
196096,6,5
196106,5,4
196114,9,5
196153,6,5
196225,6,5
196272,6,5
196299,7,6
196348,10,8
196566,6,5
196590,5,4
196625,6,5
196671,6,4
196690,8,6
196701,7,6
196719,4,3
196760,15,5
196777,8,7
197172,5,4
197190,49,15
398636,7,6
398655,5,4
398661,6,5
398682,5,4
398692,5,4
398716,5,4
398723,7,6
398738,5,4
398744,5,4
398754,7,5
398772,13,5
399293,5,4
399308,7,6
399526,6,5
399543,8,4
399582,7,2
400246,5,4
400261,4,2
400273,6,5
400284,5,4
400299,6,5
400309,7,6
400357,5,4
400365,8,7
400372,5,4
400381,5,4
400388,6,5
400398,5,4
400418,5,4
400462,6,5
400486,5,4
400496,9,5
400508,10,7
400523,8,5
400559,6,5
400571,7,4
400597,6,5
400616,5,4
400629,6,5
400641,6,5
400682,6,5
400692,8,4
400709,5,4
400714,5,4
400727,5,4
400792,7,5
400820,20,7
400875,8,7
400880,5,4
400886,5,4
400892,14,5
400941,6,5
400960,17,5
400974,6,5
400989,9,5
401082,6,1
147893,4,3
488994,4,2
149243,8,1
149464,6,1
149470,8,2
149497,9,2
149554,10,3
149684,7,2
149837,8,2
175110,8,7
175123,8,7
187981,6,3
172023,8,4
408385,7,5
408422,10,9
408531,10,8
408676,6,5
408685,12,10
410344,8,7
410589,7,6
410604,9,7
410739,25,21
410767,9,7
410868,8,7
50197,6,1
50265,2,1
50540,1,1
50875,1,1
51250,26,1
60470,2,1
61881,3,1
61963,2,1
131494,9,4
151394,5,2
133476,6,2
404606,6,5
404610,8,7
177889,7,6
177959,7,6
177979,7,6
177999,6,5
178011,16,13
178796,17,14
180323,10,8
180402,15,9
180412,8,7
180540,19,15
156418,7,2
156619,7,2
156665,8,3
144798,3,2
19925,11,6
19568,12,7
19710,12,7
19782,12,7
581361,2,1
402272,6,5
402282,9,7
402298,7,6
402313,6,5
402319,8,7
402376,17,9
402913,9,7
402935,27,22
142755,7,4
137714,5,2
403753,7,5
403763,6,5
403788,6,5
403839,8,6
403973,15,12
154190,7,2
185474,3,1
185236,3,1
411236,6,4
411243,7,5
148231,3,1
157831,3,1
157957,3,1
82397,6,2
82493,6,2
82513,4,1
157176,3,1
8117,4,2
59060,7,3
437262,9,4
666070,10,3
393971,3,2
667656,59,4
20788,7,2
20807,7,2
21889,6,1
19241,3,2
37518,5,2
93299,3,1
153736,3,2
168527,2,1
81631,11,5
81644,12,7
678817,2,1
678818,3,1
678820,3,1
4373426,0,0
